competition,date,match,team,pos,pos_role,player,rater,is_human,original_rating,goals,assists,shots_ontarget,shots_offtarget,shotsblocked,chances2score,drib_success,drib_unsuccess,keypasses,touches,passes_acc,passes_inacc,crosses_acc,crosses_inacc,lballs_acc,lballs_inacc,grduels_w,grduels_l,aerials_w,aerials_l,poss_lost,fouls,wasfouled,clearances,stop_shots,interceptions,tackles,dribbled_past,tballs_acc,tballs_inacc,ycards,rcards,dangmistakes,countattack,offsides,goals_ag_otb,goals_ag_itb,saves_itb,saves_otb,saved_pen,missed_penalties,owngoals,degree_centrality,betweenness_centrality,closeness_centrality,flow_centrality,flow_success,betweenness2goals,win,lost,is_home_team,minutesPlayed,game_duration
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",France,DF,DR,Bacary Sagna,SofaScore,0,7,0,0,0,0,0,0,0,0,1,79,34,5,1,0,2,1,2,3,7,0,11,0,1,5,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.214285714,0.122282067,0.710084034,0.479452055,2.022194095,0.055555556,1,0,1,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",France,DF,DR,Bacary Sagna,WhoScored,0,7.07,0,0,0,0,0,0,0,0,1,79,34,5,1,0,2,1,2,3,7,0,11,0,1,5,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.214285714,0.122282067,0.710084034,0.479452055,2.022194095,0.055555556,1,0,1,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",France,DF,DR,Bacary Sagna,Kicker,1,3.5,0,0,0,0,0,0,0,0,1,79,34,5,1,0,2,1,2,3,7,0,11,0,1,5,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.214285714,0.122282067,0.710084034,0.479452055,2.022194095,0.055555556,1,0,1,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",France,DF,DC,Adil Rami,SofaScore,0,7.3,0,0,0,0,0,0,0,0,0,76,43,9,0,0,1,6,7,0,6,0,16,1,2,7,0,8,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.071428571,0.134136952,0.603571429,0.397260274,1.556168361,0,1,0,1,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",France,DF,DC,Adil Rami,WhoScored,0,7.04,0,0,0,0,0,0,0,0,0,76,43,9,0,0,1,6,7,0,6,0,16,1,2,7,0,8,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.071428571,0.134136952,0.603571429,0.397260274,1.556168361,0,1,0,1,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",France,DF,DC,Adil Rami,Kicker,1,2.5,0,0,0,0,0,0,0,0,0,76,43,9,0,0,1,6,7,0,6,0,16,1,2,7,0,8,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.071428571,0.134136952,0.603571429,0.397260274,1.556168361,0,1,0,1,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",France,DF,DL,Patrice Evra,SofaScore,0,5.4,0,0,0,0,0,0,0,2,0,60,31,4,1,3,0,1,1,2,0,1,12,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.142857143,0.215064076,0.635338346,0.410958904,1.386554381,0,1,0,1,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",France,DF,DL,Patrice Evra,WhoScored,0,5.67,0,0,0,0,0,0,0,2,0,60,31,4,1,3,0,1,1,2,0,1,12,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.142857143,0.215064076,0.635338346,0.410958904,1.386554381,0,1,0,1,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",France,DF,DL,Patrice Evra,Kicker,1,4.5,0,0,0,0,0,0,0,2,0,60,31,4,1,3,0,1,1,2,0,1,12,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.142857143,0.215064076,0.635338346,0.410958904,1.386554381,0,1,0,1,90,90"
"Euro 2016,10/06/2016,""France - Romania, 2 - 1"",France,MF,MC,Paul Pogba,SofaScore,0,6.6,0,0,1,1,0,1,1,2,0,77,50,9,1,0,7,3,6,2,1,0,13,0,2,1,0,2,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1.285714286,0.16774897,0.710084034,0.452054795,1.121139928,0,1,0,1,77,90"
